estab_year,foundation,details_id,count(*)
2023,"Since 2010",S03,5
2022,"Since 2010",S03,5
2021,"Since 2010",S04,19
2020,"Since 2010",M05,18
2019,"Since 2010",I02,16
2018,"Since 2010",S04,10
2017,"Since 2010",S04,32
2016,"Since 2010",S04,17
2015,"Since 2010",S04,20
2014,"Since 2010",S04,24
2013,"Since 2010",S04,12
2012,"Since 2010",M05,18
2011,"Since 2010",S04,11
2010,"Since 2010",S03,9
2009,"Before 2010",S03,3
2008,"Before 2010",O07,4
2007,"Before 2010",S03,12
2006,"Before 2010",S03,2
2005,"Before 2010",S03,2
2004,"Before 2010",S04,1
2003,"Before 2010",O07,4
2002,"Before 2010",S03,9
2001,"Before 2010",S03,2
2000,"Before 2010",D01,4
1999,"Before 2010",S03,2
1998,"Before 2010",D01,5
1997,"Before 2010",S03,4
1996,"Before 2010",S03,9
1995,"Before 2010",M05,2
1994,"Before 2010",D01,1
1992,"Before 2010",S03,2
1991,"Before 2010",S03,2
1989,"Before 2010",S03,2
1988,"Before 2010",S03,2
1987,"Before 2010",S04,4
1986,"Before 2010",S03,3
1985,"Before 2010",D01,1
1983,"Before 2010",I02,4
1981,"Before 2010",I02,9
1976,"Before 2010",S03,2
1969,"Before 2010",S04,1
1968,"Before 2010",S03,3
1967,"Before 2010",S03,2
1962,"Before 2010",I02,1
1945,"Before 2010",H06,1
1934,"Before 2010",S03,1
1930,"Before 2010",T08,1
1928,"Before 2010",I02,7
1927,"Before 2010",S03,1
1911,"Before 2010",S03,2
1902,"Before 2010",O07,3
1900,"Before 2010",S04,4
1882,"Before 2010",I02,6
1845,"Before 2010",S03,3
1841,"Before 2010",O07,1
